,Malmö,Luleå,Stockholm,Gothenburg,Hagfors,Halmstad,Hemavan,Jönköping ,Kalmar,Kerlskoga,Karlstad,Kiruna,Hagshult,Hallviken,Hedlanda
ICAO Code,ESMS,ESPA,ESSA,ESGG,ESOH,ESMT,ESUT,ESGJ,ESMQ,ESKK,ESOK,ESNQ,ESMV,ESNA,ESNC
Latitude (deg),55.536,65.544,59.652,57.663,60.020,56.691,65.806,57.7576,56.685501,59.34590149,59.44469833,67.8219986,57.292198,63.7383,62.40890121
Longitude (deg),13.376,22.122,17.919,12.280,13.579,12.820,15.083,14.0687,16.2876,14.49590015,13.33740044,20.33679962,14.1372,15.4583,13.74720001
Runway (m),2800,3350,3301,3299,1508,2268,1594,2203,2320,1499,2516,2502,2020,1000,1175
Population,344166,48728,975551,579281,22344,120265,1346,171592,105884,71862,64491,19737,60070,5433,1734
